Channel	ROC	FEB	FEBchannel
1189	1	19	18
1190	1	17	19
1191	1	19	19
1192	1	17	20
1193	1	19	20
1194	1	17	21
1195	1	19	21
1196	1	17	22
1197	1	19	22
1198	1	17	23
1199	1	19	23
1200	1	17	24
1201	1	19	24
1202	1	17	25
1203	1	19	25
1204	1	17	26
1205	1	19	26
1206	1	17	27
1207	1	19	27
1208	1	17	28
1209	1	19	28
1210	1	17	29
1211	1	19	29
1212	1	17	30
1213	1	19	30
1214	1	17	31
1215	1	19	31
1216	1	17	32
1217	1	19	32
1218	1	17	33
1219	1	19	33
1220	1	17	34
1221	1	19	34
1222	1	17	35
1223	1	19	35
1224	1	17	36
1225	1	19	36
1226	1	17	37
1227	1	19	37
1228	1	17	38
1229	1	19	38
1230	1	17	39
1231	1	19	39
1232	1	17	40
1233	1	19	40
1234	1	17	41
1235	1	19	41
1236	1	17	42
1237	1	19	42
1238	1	17	43
1239	1	19	43
1240	1	17	44
1241	1	19	44
1242	1	17	45
1243	1	19	45
1244	1	17	46
1245	1	19	46
1246	1	17	47
1247	1	19	47
1248	1	17	48
1249	1	19	48
1250	1	17	49
1251	1	19	49
1252	1	17	50
1253	1	19	50
1254	1	17	51
1255	1	19	51
1256	1	17	52
1257	1	19	52
1258	1	17	53
1259	1	19	53
1260	1	17	54
1261	1	19	54
1262	1	17	55
1263	1	19	55
1264	1	17	56
1265	1	19	56
1266	1	17	57
1267	1	19	57
1268	1	17	58
1269	1	19	58
1270	1	17	59
1271	1	19	59
1272	1	17	60
1273	1	19	60
1274	1	17	61
1275	1	19	61
1276	1	17	62
1277	1	19	62
1278	1	17	63
1279	1	19	63
1280	1	20	0
1281	1	22	0
1282	1	20	1
1283	1	22	1
1284	1	20	2
1285	1	22	2
1286	1	20	3
1287	1	22	3
1288	1	20	4
1289	1	22	4
1290	1	20	5
1291	1	22	5
1292	1	20	6
1293	1	22	6
1294	1	20	7
1295	1	22	7
1296	1	20	8
1297	1	22	8
1298	1	20	9
1299	1	22	9
1300	1	20	10
1301	1	22	10
1302	1	20	11
1303	1	22	11
1304	1	20	12
1305	1	22	12
1306	1	20	13
1307	1	22	13
1308	1	20	14
1309	1	22	14
1310	1	20	15
1311	1	22	15
1312	1	20	16
1313	1	22	16
1314	1	20	17
1315	1	22	17
1316	1	20	18
1317	1	22	18
1318	1	20	19
1319	1	22	19
1320	1	20	20
1321	1	22	20
1322	1	20	21
1323	1	22	21
1324	1	20	22
1325	1	22	22
1326	1	20	23
1327	1	22	23
1328	1	20	24
1329	1	22	24
1330	1	20	25
1331	1	22	25
1332	1	20	26
1333	1	22	26
1334	1	20	27
1335	1	22	27
1336	1	20	28
1337	1	22	28
1338	1	20	29
1339	1	22	29
1340	1	20	30
1341	1	22	30
1342	1	20	31
1343	1	22	31
1344	1	20	32
1345	1	22	32
1346	1	20	33
1347	1	22	33
1348	1	20	34
1349	1	22	34
1350	1	20	35
1351	1	22	35
1352	1	20	36
1353	1	22	36
1354	1	20	37
1355	1	22	37
1356	1	20	38
1357	1	22	38
1358	1	20	39
1359	1	22	39
1360	1	20	40
1361	1	22	40
1362	1	20	41
1363	1	22	41
1364	1	20	42
1365	1	22	42
1366	1	20	43
1367	1	22	43
1368	1	20	44
1369	1	22	44
1370	1	20	45
1371	1	22	45
1372	1	20	46
1373	1	22	46
1374	1	20	47
1375	1	22	47
1376	1	20	48
1377	1	22	48
1378	1	20	49
1379	1	22	49
1380	1	20	50
1381	1	22	50
1382	1	20	51
1383	1	22	51
1384	1	20	52
1385	1	22	52
1386	1	20	53
1387	1	22	53
1388	1	20	54
1389	1	22	54
1390	1	20	55
1391	1	22	55
1392	1	20	56
1393	1	22	56
1394	1	20	57
1395	1	22	57
1396	1	20	58
1397	1	22	58
1398	1	20	59
1399	1	22	59
1400	1	20	60
1401	1	22	60
1402	1	20	61
1403	1	22	61
1404	1	20	62
1405	1	22	62
1406	1	20	63
1407	1	22	63
1408	1	21	0
1409	1	23	0
1410	1	21	1
1411	1	23	1
1412	1	21	2
1413	1	23	2
1414	1	21	3
1415	1	23	3
1416	1	21	4
1417	1	23	4
1418	1	21	5
1419	1	23	5
1420	1	21	6
1421	1	23	6
1422	1	21	7
1423	1	23	7
1424	1	21	8
1425	1	23	8
1426	1	21	9
1427	1	23	9
1428	1	21	10
1429	1	23	10
1430	1	21	11
1431	1	23	11
1432	1	21	12
1433	1	23	12
1434	1	21	13
1435	1	23	13
1436	1	21	14
1437	1	23	14
1438	1	21	15
1439	1	23	15
1440	1	21	16
1441	1	23	16
1442	1	21	17
1443	1	23	17
1444	1	21	18
1445	1	23	18
1446	1	21	19
1447	1	23	19
1448	1	21	20
1449	1	23	20
1450	1	21	21
1451	1	23	21
1452	1	21	22
1453	1	23	22
1454	1	21	23
1455	1	23	23
1456	1	21	24
1457	1	23	24
1458	1	21	25
1459	1	23	25
1460	1	21	26
1461	1	23	26
1462	1	21	27
1463	1	23	27
1464	1	21	28
1465	1	23	28
1466	1	21	29
1467	1	23	29
1468	1	21	30
1469	1	23	30
1470	1	21	31
1471	1	23	31
1472	1	21	32
1473	1	23	32
1474	1	21	33
1475	1	23	33
1476	1	21	34
1477	1	23	34
1478	1	21	35
1479	1	23	35
1480	1	21	36
1481	1	23	36
1482	1	21	37
1483	1	23	37
1484	1	21	38
1485	1	23	38
1486	1	21	39
1487	1	23	39
1488	1	21	40
1489	1	23	40
1490	1	21	41
1491	1	23	41
1492	1	21	42
1493	1	23	42
1494	1	21	43
1495	1	23	43
1496	1	21	44
1497	1	23	44
1498	1	21	45
1499	1	23	45
1500	1	21	46
1501	1	23	46
1502	1	21	47
1503	1	23	47
1504	1	21	48
1505	1	23	48
1506	1	21	49
1507	1	23	49
1508	1	21	50
1509	1	23	50
1510	1	21	51
1511	1	23	51
1512	1	21	52
1513	1	23	52
1514	1	21	53
1515	1	23	53
1516	1	21	54
1517	1	23	54
1518	1	21	55
1519	1	23	55
1520	1	21	56
1521	1	23	56
1522	1	21	57
1523	1	23	57
1524	1	21	58
1525	1	23	58
1526	1	21	59
1527	1	23	59
1528	1	21	60
1529	1	23	60
1530	1	21	61
1531	1	23	61
1532	1	21	62
1533	1	23	62
1534	1	21	63
1535	1	23	63
1536	2	0	0
1537	2	2	0
1538	2	0	1
1539	2	2	1
1540	2	0	2
1541	2	2	2
1542	2	0	3
1543	2	2	3
1544	2	0	4
1545	2	2	4
1546	2	0	5
1547	2	2	5
1548	2	0	6
1549	2	2	6
1550	2	0	7
1551	2	2	7
1552	2	0	8
1553	2	2	8
1554	2	0	9
1555	2	2	9
1556	2	0	10
1557	2	2	10
1558	2	0	11
1559	2	2	11
1560	2	0	12
1561	2	2	12
1562	2	0	13
1563	2	2	13
1564	2	0	14
1565	2	2	14
1566	2	0	15
1567	2	2	15
1568	2	0	16
1569	2	2	16
1570	2	0	17
1571	2	2	17
1572	2	0	18
1573	2	2	18
1574	2	0	19
1575	2	2	19
1576	2	0	20
1577	2	2	20
1578	2	0	21
1579	2	2	21
1580	2	0	22
1581	2	2	22
1582	2	0	23
1583	2	2	23
1584	2	0	24
1585	2	2	24
1586	2	0	25
1587	2	2	25
1588	2	0	26
1589	2	2	26
1590	2	0	27
1591	2	2	27
1592	2	0	28
1593	2	2	28
1594	2	0	29
1595	2	2	29
1596	2	0	30
1597	2	2	30
1598	2	0	31
1599	2	2	31
1600	2	0	32
1601	2	2	32
1602	2	0	33
1603	2	2	33
1604	2	0	34
1605	2	2	34
1606	2	0	35
1607	2	2	35
1608	2	0	36
1609	2	2	36
1610	2	0	37
1611	2	2	37
1612	2	0	38
1613	2	2	38
1614	2	0	39
1615	2	2	39
1616	2	0	40
1617	2	2	40
1618	2	0	41
1619	2	2	41
1620	2	0	42
1621	2	2	42
1622	2	0	43
1623	2	2	43
1624	2	0	44
1625	2	2	44
1626	2	0	45
1627	2	2	45
1628	2	0	46
1629	2	2	46
1630	2	0	47
1631	2	2	47
1632	2	0	48
1633	2	2	48
1634	2	0	49
1635	2	2	49
1636	2	0	50
1637	2	2	50
1638	2	0	51
1639	2	2	51
1640	2	0	52
1641	2	2	52
1642	2	0	53
1643	2	2	53
1644	2	0	54
1645	2	2	54
1646	2	0	55
1647	2	2	55
1648	2	0	56
1649	2	2	56
1650	2	0	57
1651	2	2	57
1652	2	0	58
1653	2	2	58
1654	2	0	59
1655	2	2	59
