TABLE CRVSiPM
#channel,pedestal,calibPulseHeight,calibPulseArea
581,2047.01,15.775,432.967
582,2043.13,16.8987,463.218
583,2034.25,16.0078,442.872
584,2038.58,16.3774,469.652
585,2042.41,16.2087,449.779
586,2060.65,16.0365,457.583
587,2057.07,16.387,456.937
588,2043.33,16.2993,449.387
589,2045.34,15.8457,443.006
590,2023.78,15.48,433.09
591,2043.78,16.2404,448.791
592,2043.74,16.3332,471.601
593,2041.32,15.8931,449.884
594,2045.52,15.7803,455.198
595,2051.55,16.1522,460.697
596,2054.27,15.7898,453.791
597,2075.96,15.6084,442.534
598,2047.2,15.9021,435.534
599,2052.29,15.8419,443.964
600,2054.1,16.4683,480.603
601,2049.98,16.6461,470.466
602,2059.39,16.3619,474.942
603,2061.17,16.335,456.639
604,2052.9,15.7111,439.073
605,2057.12,14.9103,434.817
606,2035.64,15.0039,437.466
607,2056.54,16.5617,461.648
608,2033.32,13.6047,399.092
609,2047.38,14.428,417.179
610,2049.45,13.4197,388.989
611,2057.17,14.9335,422.089
612,2022.32,13.4152,382.47
613,2026.23,14.949,423.004
614,2038,13.6552,370.196
615,2033.39,14.8073,409.177
616,2051.58,13.3375,379.899
617,2035.08,15.3749,435.332
618,2034.51,12.9744,377.031
619,2043.59,14.4532,421.934
620,2051.06,13.5153,387.822
621,2054.53,14.9925,421.957
622,2041.14,13.9346,401.19
623,2049.77,14.9187,420.14
624,2038.17,13.3078,378.928
625,2046.29,15.6824,455.757
626,2040.33,13.8213,396.342
627,2054.26,14.9656,424.653
628,2045.55,12.9337,363.911
629,2016.13,15.7141,438.499
630,2043.42,13.8954,377.851
631,2046.66,15.1979,424.044
632,2040.03,13.7788,401.043
633,2036.98,15.0712,426.708
634,2044.87,13.3006,388.155
635,2066.93,15.4338,442.637
636,2034.24,13.0476,371.161
637,2043.81,15.3881,439.896
638,2044.62,12.9035,365.21
639,2050.11,15.3017,436.132
640,2040.89,17.2302,494.396
641,2046.35,15.7441,453.072
642,2048.44,17.0418,466.578
643,2041.4,15.1279,404.81
644,2057.35,17.342,480.495
645,2025.84,14.6657,382.934
646,2051.54,17.4029,436.672
647,2030.98,15.7632,389.019
648,2046.1,18.2227,509.704
649,2043.34,17.3348,568.951
