y   x   disk   phi   crate   board   sensor   BoardIdx   MBconn   ConnIdx   BoardChan   FEEchan   xcry   ycry   cryID   rouID   offID   Type
10   14   0   1   1   2   0   52   2   5   7   1047   514.5   -274.4   603   0   1206   CAL
10   15   0   1   1   2   0   52   2   4   6   1046   548.8   -274.4   651   0   1302   CAL
11   0   0   0   1   1   0   10   5   4   18   218   -566   -240.1   661   0   1322   CAL
11   1   0   0   1   1   0   10   5   3   17   217   -531.7   -240.1   617   0   1234   CAL
11   2   0   0   1   1   0   10   5   2   16   216   -497.4   -240.1   559   0   1118   CAL
11   3   0   0   1   2   0   12   3   2   8   248   -463   -240.1   478   0   956   CAL
11   4   0   0   1   2   0   12   2   5   7   247   -428.8   -240.1   385   0   770   CAL
11   5   0   0   1   2   0   12   2   4   6   246   -394.5   -240.1   290   0   580   CAL
11   6   0   0   1   2   0   12   2   3   5   245   -360.1   -240.1   201   0   402   CAL
11   7   0   0   1   2   0   12   2   2   4   244   -325.9   -240.1   118   0   236   CAL
11   8   0   1   1   2   0   52   4   5   15   1055   325.9   -240.1   93   0   186   CAL
11   9   0   1   1   2   0   52   4   4   14   1054   360.1   -240.1   173   0   346   CAL
11   10   0   1   1   2   0   52   4   3   13   1053   394.5   -240.1   259   0   518   CAL
11   11   0   1   1   2   0   52   4   2   12   1052   428.8   -240.1   351   0   702   CAL
11   12   0   1   1   2   0   52   3   5   11   1051   463   -240.1   445   0   890   CAL
11   13   0   1   1   1   0   50   1   5   3   1003   497.4   -240.1   533   0   1066   CAL
11   14   0   1   1   1   0   50   1   4   2   1002   531.7   -240.1   602   0   1204   CAL
11   15   0   1   1   1   0   50   1   3   1   1001   566   -240.1   650   0   1300   CAL
12   0   0   0   1   1   0   10   4   5   15   215   -583.1   -205.8   662   0   1324   CAL
12   1   0   0   1   1   0   10   4   4   14   214   -548.8   -205.8   618   0   1236   CAL
12   2   0   0   1   1   0   10   4   3   13   213   -514.5   -205.8   560   0   1120   CAL
12   3   0   0   1   1   0   10   4   2   12   212   -480.2   -205.8   479   0   958   CAL
12   4   0   0   1   2   0   12   1   5   3   243   -445.9   -205.8   386   0   772   CAL
12   5   0   0   1   2   0   12   1   4   2   242   -411.6   -205.8   291   0   582   CAL
12   6   0   0   1   2   0   12   1   3   1   241   -377.3   -205.8   202   0   404   CAL
12   7   0   0   1   2   0   12   1   2   0   240   -343   -205.8   119   0   238   CAL
12   8   0   1   1   2   0   52   5   5   19   1059   343   -205.8   92   0   184   CAL
12   9   0   1   1   2   0   52   5   4   18   1058   377.3   -205.8   172   0   344   CAL
12   10   0   1   1   2   0   52   5   3   17   1057   411.6   -205.8   258   0   516   CAL
12   11   0   1   1   2   0   52   5   2   16   1056   445.9   -205.8   350   0   700   CAL
12   12   0   1   1   1   0   50   2   5   7   1007   480.2   -205.8   444   0   888   CAL
12   13   0   1   1   1   0   50   2   4   6   1006   514.5   -205.8   532   0   1064   CAL
12   14   0   1   1   1   0   50   2   3   5   1005   548.8   -205.8   601   0   1202   CAL
12   15   0   1   1   1   0   50   2   2   4   1004   583.1   -205.8   649   0   1298   CAL
13   0   0   0   1   1   0   10   3   5   11   211   -600.2   -171.5   663   0   1326   CAL
13   1   0   0   1   1   0   10   3   4   10   210   -566   -171.5   619   0   1238   CAL
13   2   0   0   1   1   0   10   3   3   9   209   -531.7   -171.5   561   0   1122   CAL
13   3   0   0   1   1   0   10   3   2   8   208   -497.4   -171.5   480   0   960   CAL
13   4   0   0   1   1   0   10   2   5   7   207   -463   -171.5   387   0   774   CAL
13   5   0   0   1   1   0   10   2   4   6   206   -428.8   -171.5   292   0   584   CAL
13   6   0   0   1   1   0   10   2   3   5   205   -394.5   -171.5   203   0   406   CAL
13   7   0   0   1   1   0   10   2   2   4   204   -360.1   -171.5   120   0   240   CAL
13   8   0   1   1   1   0   50   4   5   15   1015   360.1   -171.5   91   0   182   CAL
13   9   0   1   1   1   0   50   4   4   14   1014   394.5   -171.5   171   0   342   CAL
13   10   0   1   1   1   0   50   4   3   13   1013   428.8   -171.5   257   0   514   CAL
13   11   0   1   1   1   0   50   4   2   12   1012   463   -171.5   349   0   698   CAL
